"order_id","user_id","eval_set","order_number","order_dow","order_hour_of_day","days_since_prior_order"
3246409,70011,"prior",42,2,"09",5
2596539,43094,"prior",4,4,"09",6
3152437,203381,"prior",24,4,"20",4
2820405,134351,"prior",15,0,"19",4
862581,28667,"prior",4,1,"19",14
954279,146456,"prior",11,6,"10",6
1995557,205417,"prior",62,5,"07",3
3255812,133943,"prior",9,1,"20",10
3160213,182542,"prior",6,5,"18",23
2381783,82163,"prior",32,4,"18",7
2680779,141697,"prior",8,0,"13",12
2888460,106465,"prior",20,2,"16",4
344967,23585,"prior",23,1,"14",3
3208072,145450,"prior",4,5,"15",12
171318,124594,"prior",22,1,"13",6
1723662,94058,"prior",16,4,"14",11
2746491,10888,"prior",48,3,"12",2
2581,194025,"prior",8,0,"12",1
3269972,38886,"prior",64,1,"11",5
1806398,153947,"prior",12,5,"13",12
3270479,168921,"prior",71,0,"15",1
283656,64204,"prior",7,6,"18",7
2589730,59782,"prior",17,4,"17",3
587344,113130,"train",15,2,"11",30
2862042,2721,"test",9,1,"11",30
2509332,184521,"prior",2,1,"13",7
2299134,157587,"prior",85,1,"19",1
1149456,157460,"prior",2,5,"15",24
1796877,154478,"train",42,3,"21",24
631531,38469,"prior",26,4,"20",8
890179,200112,"prior",39,5,"14",1
835599,69573,"prior",21,0,"19",0
1840728,100710,"prior",7,5,"12",7
2239873,103409,"prior",10,1,"18",19
2810448,4776,"test",9,0,"14",9
3278269,138657,"prior",2,0,"15",5
1219346,199280,"prior",50,5,"17",5
3414962,204998,"prior",24,1,"10",6
837132,183210,"prior",9,1,"06",12
2679109,9910,"prior",43,5,"12",1
3238596,162687,"prior",8,4,"13",9
2449950,140528,"prior",2,2,"18",5
3179616,28870,"prior",2,4,"19",11
2831383,93163,"prior",13,5,"14",30
2871122,62955,"prior",21,3,"19",9
3092551,59120,"prior",5,6,"21",30
3318830,145407,"prior",12,1,"10",13
1343596,163275,"prior",13,5,"13",16
2738482,162201,"prior",25,0,"13",14
263777,144485,"prior",9,0,"09",5
452521,31702,"prior",4,6,"17",30
2680977,188917,"prior",12,1,"12",10
1397570,114181,"prior",16,2,"18",2
2203995,114861,"prior",26,2,"13",12
854222,98340,"prior",2,6,"10",8
1104872,32340,"train",62,2,"11",8
1253517,67494,"prior",3,5,"12",7
2788861,122230,"prior",3,0,"15",7
758828,181171,"prior",2,3,"15",8
228727,123439,"prior",2,6,"14",7
2773090,49911,"prior",5,6,"13",3
1724762,29552,"prior",2,5,"01",26
3356550,56224,"prior",5,4,"15",21
130412,79384,"prior",10,3,"12",30
236930,27682,"prior",9,5,"12",10
53143,83515,"prior",7,6,"16",8
449035,18430,"prior",7,1,"11",9
435870,36817,"prior",2,1,"10",30
181036,105152,"prior",31,2,"12",6
1423649,176927,"prior",6,4,"14",30
3170176,6633,"prior",20,6,"18",30
2152127,139151,"prior",12,6,"12",5
730078,142921,"prior",9,5,"14",7
439718,144972,"prior",78,4,"18",3
1317540,92568,"prior",13,6,"11",23
1867920,89195,"prior",4,1,"18",30
2227684,12262,"prior",32,0,"15",15
1302048,34969,"prior",3,5,"21",13
1097367,199480,"prior",7,1,"00",11
1268826,157614,"test",6,4,"09",30
1376328,191861,"prior",10,3,"17",3
1073804,83465,"test",6,0,"16",30
437353,99296,"prior",2,0,"22",18
1439111,70195,"prior",2,1,"07",23
1091419,201337,"prior",6,2,"06",15
2046284,52121,"prior",13,6,"09",7
2289382,42712,"prior",4,0,"00",4
1283129,62382,"prior",9,1,"13",10
1672622,92565,"prior",14,4,"07",7
3118329,26261,"prior",17,5,"14",5
502096,189160,"prior",8,3,"16",2
1879414,68198,"prior",30,5,"08",5
411460,123143,"prior",85,4,"17",3
334802,24059,"prior",3,6,"13",6
458964,48364,"prior",29,5,"15",10
3055608,119307,"prior",4,3,"11",4
1698628,63238,"prior",9,4,"17",4
2361868,28405,"prior",25,0,"11",5
231182,115518,"prior",3,2,"09",21
2394225,190958,"prior",4,5,"10",27
1535712,50419,"prior",24,2,"09",10
1595279,181340,"prior",3,3,"09",6
13010,100698,"prior",55,3,"09",5
2771676,192063,"prior",6,6,"10",20
147149,17425,"train",49,5,"15",19
2961654,537,"prior",5,2,"09",8
153559,116457,"prior",8,0,"09",7
3053447,169608,"prior",46,1,"10",6
246578,194058,"prior",7,1,"07",22
1963410,50299,"prior",52,1,"11",7
63686,132899,"prior",12,2,"18",28
66889,8639,"prior",12,5,"10",5
2664624,36007,"prior",63,1,"08",1
1891523,13711,"prior",6,4,"09",7
2671964,201920,"prior",2,4,"12",7
2715398,136300,"prior",41,1,"16",7
317917,185255,"prior",36,0,"12",3
2419254,187221,"prior",8,3,"08",7
2045768,18173,"prior",2,6,"09",30
1472361,192533,"prior",17,0,"10",15
2187763,49364,"prior",7,0,"16",30
849561,79439,"prior",33,4,"18",10
437375,178283,"prior",28,5,"16",1
2636213,83321,"prior",15,0,"12",3
1989121,156161,"test",31,4,"17",6
2732660,7355,"prior",62,0,"07",7
314897,52297,"prior",7,0,"12",4
626521,134922,"prior",44,6,"12",8
1678553,38226,"train",13,5,"17",13
1121936,113668,"prior",4,0,"16",30
1512620,169586,"prior",31,5,"11",1
1591893,88332,"prior",8,6,"19",30
3238709,100064,"prior",14,4,"12",24
379160,39440,"prior",3,5,"05",3
1912808,187888,"prior",3,6,"08",21
1311827,26962,"prior",40,2,"11",16
2231824,88251,"prior",16,0,"07",8
1447816,143314,"prior",2,2,"17",6
2210643,80163,"prior",6,2,"13",8
1899125,202321,"prior",6,0,"14",19
1266321,18649,"prior",6,6,"10",18
3408953,200540,"prior",2,3,"15",30
1638353,195889,"prior",13,0,"15",4
789024,149331,"prior",6,1,"19",6
2573140,149747,"prior",19,5,"00",16
1016114,140632,"prior",7,6,"14",14
665793,42438,"test",9,1,"19",4
434394,108683,"prior",22,1,"13",20
849137,201074,"prior",11,2,"13",8
3119070,129639,"prior",37,5,"10",30
2648303,6302,"prior",4,6,"11",5
316181,126367,"prior",2,1,"10",22
2991500,79849,"prior",2,3,"08",3
1600993,37551,"prior",12,2,"13",8
2199441,76071,"prior",6,0,"11",6
3378108,144132,"prior",3,1,"18",8
789151,156295,"prior",27,6,"19",4
670682,113760,"prior",59,0,"08",5
86671,81383,"prior",2,1,"16",2
1166053,148688,"prior",20,2,"13",4
2318873,76449,"prior",12,3,"10",5
827105,105152,"prior",5,3,"08",5
470423,86990,"prior",6,3,"16",14
536464,129229,"prior",47,6,"16",2
2230414,45648,"prior",2,2,"11",30
1879830,81215,"prior",3,0,"12",3
1813401,18883,"prior",45,2,"08",10
911442,66336,"prior",35,1,"08",7
1865054,57150,"prior",9,4,"19",30
3362153,205767,"prior",9,1,"13",4
2454599,124691,"prior",3,2,"10",30
2527677,20016,"prior",30,2,"10",6
2034308,152679,"prior",10,1,"13",8
320885,204791,"prior",5,2,"15",7
3213310,52985,"prior",15,2,"14",4
43477,65162,"prior",23,1,"16",18
1990567,97595,"prior",6,0,"08",5
2935012,94328,"prior",4,3,"04",5
725779,149074,"prior",71,3,"11",5
372059,130911,"prior",2,1,"13",8
807635,5912,"prior",59,0,"15",2
549083,140313,"prior",7,2,"11",20
2329773,123101,"prior",4,6,"12",25
912030,134691,"prior",2,1,"07",7
92057,187984,"prior",50,4,"10",3
303387,99675,"prior",30,5,"19",11
2169011,68302,"prior",14,3,"12",11
1563837,67309,"prior",8,4,"18",11
2172616,161179,"prior",7,0,"11",10
480890,143462,"prior",2,0,"05",30
506586,17199,"prior",23,2,"07",7
2690907,32099,"prior",18,1,"20",4
2595050,85442,"prior",16,5,"18",30
1696853,176980,"prior",10,3,"10",30
259086,187218,"prior",14,6,"11",9
3025761,54103,"prior",38,6,"19",25
3315858,22813,"prior",11,0,"21",2
3126716,106721,"prior",5,2,"16",9
915092,133628,"prior",16,0,"12",2
1622978,13364,"prior",2,1,"15",5
3302170,69307,"train",12,3,"20",10
3208485,123425,"prior",4,6,"17",10
3147521,144830,"prior",20,4,"22",6
2126097,67744,"prior",12,4,"17",2
2197231,31633,"prior",21,5,"16",3
2735056,114573,"prior",10,4,"08",9
2420845,29964,"prior",13,6,"12",7
2759461,98903,"prior",23,6,"13",7
1388777,72205,"prior",33,0,"19",16
741095,81603,"prior",38,1,"12",10
2694930,42938,"prior",10,1,"17",7
1704475,116135,"prior",35,4,"17",1
2064686,82889,"prior",2,3,"10",22
782485,110698,"prior",24,0,"10",3
2026826,134003,"prior",44,5,"11",2
412373,64197,"prior",8,6,"14",5
2315295,18958,"prior",9,2,"17",30
942668,93592,"prior",10,1,"17",5
2517655,190890,"prior",8,4,"14",4
1444951,178380,"prior",15,2,"11",6
2736191,184832,"prior",50,2,"09",2
3012770,32133,"prior",3,3,"19",16
568279,73477,"prior",56,1,"07",12
1847787,142183,"prior",19,0,"11",8
2067390,204204,"prior",24,1,"08",10
968584,74730,"prior",9,5,"19",6
2441156,145890,"prior",38,4,"17",1
302306,38132,"prior",5,0,"17",4
2300295,23205,"prior",17,6,"14",25
593712,106133,"prior",4,0,"17",1
1081819,22564,"prior",3,6,"13",2
120344,121777,"prior",17,0,"14",19
2529065,172399,"prior",2,2,"15",14
1259541,149386,"prior",7,6,"08",11
2037831,103336,"prior",4,1,"19",5
2835205,193996,"prior",6,2,"10",22
2579262,92130,"prior",52,0,"17",11
738674,125080,"prior",4,4,"14",30
1304177,15191,"prior",16,2,"09",15
1610445,61399,"prior",35,5,"19",2
2683069,113763,"prior",3,0,"09",0
2357692,167194,"prior",4,1,"10",4
2221125,48058,"prior",18,1,"19",21
3328763,202596,"prior",10,1,"14",8
3107826,99195,"prior",4,3,"10",14
1673527,13766,"prior",12,1,"19",1
2526597,155122,"prior",5,0,"17",9
2628178,118859,"train",8,0,"13",16
1585664,86064,"prior",3,6,"15",30
2671074,68761,"prior",29,0,"14",8
2819071,48379,"prior",3,1,"12",6
3182990,35248,"prior",37,6,"12",1
3309925,157765,"prior",12,6,"13",26
1283816,161123,"prior",9,6,"10",7
1152847,139608,"prior",3,2,"19",8
1439668,195875,"prior",18,1,"12",17
2043992,146895,"prior",7,5,"13",1
48493,179705,"prior",3,0,"09",2
2701991,13967,"prior",2,6,"20",5
3082959,118392,"prior",7,6,"12",19
1633699,76350,"prior",5,3,"13",7
992510,104257,"prior",12,6,"10",7
892670,10828,"prior",35,6,"14",9
3415550,12073,"prior",9,5,"12",20
1584427,132201,"prior",38,2,"17",4
1387662,107222,"prior",2,3,"11",7
2036528,152177,"prior",11,0,"11",8
2916024,49920,"prior",9,4,"10",8
1667177,56025,"prior",10,2,"19",9
2862880,76729,"prior",57,6,"15",1
218764,198563,"prior",6,5,"17",17
2718806,112159,"prior",38,0,"09",3
250620,110473,"prior",7,4,"23",0
2335510,48259,"prior",19,5,"20",5
3340214,1909,"prior",30,3,"17",2
460624,157041,"prior",4,4,"14",30
657324,173650,"prior",25,0,"13",7
1056468,77063,"prior",2,5,"20",8
1525770,93880,"prior",21,4,"08",5
748329,111879,"prior",7,0,"12",7
3113894,199546,"prior",16,3,"14",1
359596,54002,"prior",4,2,"13",30
1312685,146326,"prior",9,3,"18",18
2350101,39475,"prior",45,6,"08",4
749382,27958,"prior",7,1,"15",14
1941363,102240,"prior",5,0,"22",14
2806946,101184,"prior",4,2,"10",10
3378161,66630,"prior",12,1,"11",21
3217786,184881,"prior",5,5,"13",8
446254,50720,"train",7,4,"16",30
992946,22053,"prior",17,0,"14",6
1534176,77968,"prior",32,2,"11",5
1046461,41186,"prior",56,0,"17",7
1447748,146994,"prior",18,4,"15",9
2768512,5329,"prior",29,4,"18",0
215250,108538,"prior",2,4,"17",3
1569592,166138,"prior",2,2,"14",15
395098,16168,"prior",13,1,"11",7
215841,103539,"prior",16,5,"11",7
1994127,194006,"train",82,3,"07",8
746601,112771,"test",4,5,"15",17
2789203,132917,"prior",12,5,"13",9
1478481,162616,"prior",3,1,"15",26
1803543,9898,"prior",23,0,"13",10
2537960,105758,"prior",5,0,"13",15
26901,74568,"prior",10,5,"09",12
3262853,6045,"prior",71,2,"12",1
1154880,164376,"prior",62,4,"17",3
1098551,87522,"prior",24,4,"19",10
3083178,76819,"prior",42,5,"16",10
1648013,184458,"prior",30,4,"10",2
1483753,177520,"prior",2,0,"08",17
3134282,31253,"prior",3,2,"13",21
1122330,25151,"prior",8,4,"23",30
1766963,146172,"prior",31,3,"09",5
501019,173709,"prior",5,0,"08",7
2655517,122756,"prior",15,0,"15",7
1496754,41843,"prior",16,1,"19",5
700715,159655,"train",33,1,"00",15
558881,6705,"prior",15,4,"10",21
3058692,203595,"prior",5,1,"10",14
3118282,164815,"prior",9,3,"16",14
3253762,176682,"prior",8,2,"09",13
3065957,135456,"prior",45,4,"13",1
880488,20436,"prior",3,1,"13",12
360905,99011,"prior",29,2,"16",30
205824,6923,"prior",6,3,"11",21
3194424,155691,"train",6,1,"09",30
472877,84861,"prior",26,0,"15",11
38825,80829,"prior",3,4,"12",6
1814688,92929,"prior",3,1,"13",18
2993108,142514,"prior",53,6,"12",6
1679709,63257,"prior",2,4,"08",30
282699,168046,"prior",51,6,"17",8
1805123,154155,"prior",16,1,"15",6
1239754,101621,"prior",27,5,"20",1
786724,202414,"prior",17,2,"11",6
761494,92803,"prior",3,4,"09",30
3347299,176240,"prior",27,6,"12",12
897128,175795,"prior",4,1,"16",0
1064732,102951,"prior",4,1,"14",8
2126916,97858,"prior",11,6,"13",1
1835779,136146,"prior",4,3,"13",9
2890581,110238,"prior",74,0,"10",3
1920550,136416,"prior",2,2,"22",0
2693964,52997,"prior",2,5,"08",15
724966,135920,"prior",40,4,"17",4
2718042,75868,"test",11,6,"11",30
397002,91917,"prior",6,4,"18",30
2590104,159459,"prior",4,0,"14",14
650890,41752,"prior",8,2,"12",8
2818302,91735,"prior",4,5,"20",1
1078765,44228,"prior",51,1,"08",4
221447,101261,"prior",59,3,"11",5
711542,43113,"prior",42,1,"07",2
731161,125343,"train",10,6,"17",30
2974822,74786,"prior",18,6,"15",5
683249,105341,"prior",6,5,"10",3
1563753,200034,"prior",26,1,"12",7
2247959,72309,"prior",43,0,"08",2
1775321,12435,"prior",6,4,"17",12
526485,172515,"prior",4,1,"14",6
2278659,114403,"prior",10,6,"22",30
1942496,64232,"prior",13,0,"09",8
3364210,39465,"train",44,3,"15",13
2516362,169047,"prior",54,6,"16",7
978992,113390,"train",19,6,"14",30
1454178,41244,"prior",16,6,"12",30
1554765,8812,"prior",73,2,"14",3
2507993,182959,"prior",10,5,"13",15
514832,77658,"test",8,2,"10",7
797045,127268,"prior",57,1,"15",0
730225,126649,"prior",8,3,"16",10
3409057,44423,"prior",12,3,"17",4
491389,112024,"prior",3,1,"14",30
2518995,83434,"prior",4,4,"09",4
2567173,47729,"prior",10,1,"01",7
709749,159358,"prior",22,0,"10",17
1292369,126327,"prior",2,1,"16",28
2306095,191097,"prior",42,6,"12",6
1931636,143746,"prior",22,5,"18",6
453347,146332,"prior",4,4,"11",30
1365510,184141,"prior",19,4,"17",6
180774,91186,"prior",5,6,"12",18
1377411,102547,"prior",21,2,"09",11
3242463,182324,"prior",27,6,"12",7
992950,126906,"prior",3,2,"19",7
3102920,146885,"prior",25,0,"20",4
1853222,86905,"prior",62,4,"17",5
2321687,58204,"prior",5,0,"09",14
1896316,199737,"prior",2,0,"01",9
1333460,57555,"prior",6,4,"11",30
2314991,42736,"prior",17,0,"09",7
2138087,9433,"prior",6,6,"16",30
617243,99411,"prior",6,2,"21",3
2373260,134248,"prior",81,6,"21",3
2679870,138230,"prior",12,1,"12",14
1214641,129447,"prior",11,3,"17",15
3351411,95557,"prior",4,1,"12",13
1978795,91729,"prior",2,1,"22",7
1391640,98091,"prior",47,3,"13",7
3359810,13741,"prior",6,4,"17",8
1259860,64317,"prior",43,2,"09",2
2825704,41085,"prior",40,4,"07",3
1864055,73918,"prior",10,0,"19",28
3013026,119093,"prior",3,4,"11",30
2185248,185611,"train",9,0,"16",30
82723,61639,"prior",18,3,"16",8
3111682,58036,"prior",6,0,"18",13
2684524,72812,"prior",25,0,"14",7
2669286,117460,"prior",54,3,"11",2
3218093,133816,"prior",13,3,"18",5
2456879,19250,"prior",2,5,"16",13
386316,13804,"prior",22,5,"14",17
1824858,45576,"prior",36,1,"10",10
3385723,70852,"prior",48,2,"09",7
2979803,82988,"prior",2,2,"20",30
841688,175782,"prior",7,0,"17",7
2270397,48959,"test",16,1,"08",11
2675068,84720,"prior",6,6,"16",6
1615068,154494,"prior",23,3,"08",5
1079045,27801,"prior",31,0,"09",7
881040,144131,"train",5,3,"15",30
687746,24998,"prior",14,3,"15",9
3145420,73376,"prior",14,3,"16",17
3140787,153244,"prior",29,4,"17",7
2923786,115351,"prior",12,4,"15",23
1475877,107100,"prior",8,3,"13",3
1497081,102028,"prior",9,1,"14",4
1764437,97288,"prior",25,1,"09",8
1680739,111072,"prior",55,1,"09",4
2167707,46092,"prior",25,6,"14",3
866683,34567,"prior",24,1,"13",14
2739231,16518,"prior",2,3,"08",4
1582659,189171,"test",5,3,"09",30
3273968,184247,"prior",6,2,"22",5
1881212,187777,"prior",17,2,"22",17
86617,148734,"prior",22,6,"21",13
2010346,154980,"prior",19,5,"12",1
584998,35103,"prior",2,3,"14",2
702365,152751,"prior",3,3,"10",30
257720,73255,"prior",5,4,"11",4
317794,100990,"prior",7,0,"10",7
2948423,151005,"prior",21,3,"16",5
821027,62558,"prior",29,1,"09",10
2787504,116808,"prior",17,5,"17",7
3410517,94116,"train",26,6,"18",6
786975,1537,"prior",36,6,"12",1
1284190,123016,"prior",51,5,"09",3
1725791,44967,"prior",29,2,"19",5
272123,128655,"prior",88,0,"12",5
2482078,44531,"prior",17,3,"23",2
1388409,53942,"prior",8,0,"18",29
2651593,125236,"prior",28,2,"19",2
3120455,56133,"prior",31,1,"08",7
2238131,97040,"train",49,1,"16",1
2929682,84605,"prior",4,2,"09",30
521005,154821,"prior",9,4,"12",2
2852479,114300,"prior",40,1,"15",5
1506287,20219,"prior",2,0,"09",10
837188,144956,"prior",37,0,"18",3
1586827,126810,"prior",30,4,"08",4
232857,136229,"prior",2,2,"08",6
2536338,51673,"prior",5,0,"23",4
671182,108363,"prior",45,5,"08",1
2401634,7325,"prior",2,5,"16",0
1259434,123649,"prior",30,2,"20",8
1384511,111212,"prior",15,2,"07",2
2781860,107385,"prior",3,5,"11",30
1456581,186762,"prior",41,5,"13",5
741938,19404,"prior",3,6,"12",19
1822218,199267,"prior",10,0,"10",7
743947,173982,"prior",11,2,"13",2
1711867,2610,"prior",14,5,"11",9
2987079,2456,"prior",45,0,"09",5
2577270,22097,"prior",40,6,"09",4
815602,140605,"prior",10,3,"14",4
206062,139095,"prior",3,6,"07",1
2861416,43852,"prior",11,0,"13",30
3117214,73981,"prior",15,5,"18",11
2656511,36585,"prior",8,1,"18",7
1715610,121772,"prior",30,5,"07",8
2500473,101002,"prior",38,5,"10",5
622734,127979,"prior",10,4,"14",5
1350316,173927,"prior",50,2,"08",4
539411,182915,"prior",15,5,"12",6
2510494,96100,"prior",43,2,"15",9
96561,192230,"prior",16,0,"08",14
1269996,114434,"prior",7,5,"09",29
1408354,182832,"prior",8,0,"06",30
1261005,147267,"prior",9,6,"13",27
3413550,102379,"prior",5,4,"15",5
1166585,28719,"prior",4,0,"14",14
2569377,92035,"prior",2,2,"16",6
1632022,85901,"prior",28,4,"15",2
245863,59030,"prior",9,3,"07",7
2954260,167768,"prior",4,4,"12",17
588718,206105,"prior",27,0,"16",0
1182923,153560,"prior",17,1,"18",17
532949,138466,"prior",4,2,"22",30
647761,175787,"prior",6,2,"10",30
868942,91448,"prior",14,0,"13",27
1229165,81349,"prior",8,6,"16",3
524489,45987,"prior",18,0,"17",4
1026489,196932,"prior",19,5,"11",1
2030821,164834,"prior",3,5,"09",21
611988,187692,"prior",31,0,"03",3
1180289,149,"prior",15,4,"22",12
361671,36516,"train",5,5,"12",30
1561784,205908,"prior",18,5,"12",3
982601,122160,"prior",66,0,"19",12
944422,30304,"prior",10,5,"11",4
1303370,116851,"prior",16,4,"09",13
132118,99527,"prior",16,1,"10",4
2247368,43716,"prior",30,3,"06",3
1722052,169260,"prior",7,1,"14",15
2836441,166182,"prior",8,4,"17",6
3317363,25777,"prior",6,3,"13",25
2330516,188096,"prior",36,1,"08",7
616915,28238,"prior",53,1,"09",5
478432,9461,"prior",31,4,"09",5
2936499,194024,"prior",2,0,"22",21
1748882,17224,"prior",11,5,"10",2
149296,139029,"prior",33,1,"10",4
3408624,130461,"prior",31,3,"13",10
2243244,177418,"prior",41,0,"14",1
493197,186452,"prior",2,4,"23",27
2328739,154246,"prior",73,1,"08",0
673172,97122,"prior",30,4,"21",0
1102732,116051,"prior",59,0,"15",6
1257008,69182,"prior",79,1,"13",7
2772511,181540,"prior",61,6,"11",1
2981208,107592,"prior",17,0,"10",7
3382578,7165,"prior",13,3,"07",8
779005,165072,"prior",4,0,"13",15
605950,45794,"prior",9,3,"07",10
1315722,195957,"prior",20,1,"08",6
478667,53857,"train",4,2,"20",30
1334908,85035,"prior",26,1,"17",8
3059207,132104,"prior",9,6,"16",17
2463933,101377,"prior",16,1,"07",30
218038,112005,"prior",22,0,"18",13
223378,119191,"prior",9,4,"09",8
3195844,68360,"prior",9,1,"09",6
1855886,201825,"prior",3,0,"15",30
1081602,64589,"prior",35,3,"14",11
3100629,153675,"prior",8,4,"17",5
3047507,163876,"prior",25,6,"11",10
2074996,147013,"prior",6,1,"09",14
1367695,202556,"prior",15,5,"10",13
185743,100065,"prior",5,1,"03",0
677590,176432,"prior",10,1,"07",20
354651,129264,"prior",2,4,"18",1
2494762,158656,"prior",53,5,"23",2
112830,152743,"prior",20,1,"09",5
2768390,63759,"prior",21,2,"11",8
2994788,200966,"prior",2,0,"20",6
1322781,193056,"prior",51,4,"15",2
1923780,164412,"test",5,6,"10",28
2016474,32491,"prior",5,1,"11",14
2710309,31818,"prior",3,6,"13",10
1618397,51086,"prior",38,1,"17",6
1021734,19959,"train",22,3,"17",20
540364,114847,"prior",12,0,"12",22
1981088,178611,"prior",10,1,"10",12
1322395,136869,"prior",5,1,"22",30
1193879,197602,"prior",19,3,"06",20
881854,177097,"prior",46,0,"08",14
805506,175540,"prior",62,3,"16",1
2052360,133984,"prior",6,1,"21",25
1614896,115040,"prior",5,2,"00",12
824563,185564,"prior",14,2,"17",12
1406442,27840,"prior",5,3,"15",6
3143725,42307,"prior",17,2,"09",8
3000942,205096,"prior",66,1,"11",7
1199235,192964,"prior",20,5,"11",15
2265356,29987,"prior",34,5,"08",5
2635258,90617,"prior",13,0,"12",26
2860139,9658,"prior",8,4,"16",30
613661,958,"prior",8,0,"12",7
351329,145846,"prior",5,0,"10",9
1130018,98602,"prior",39,6,"17",7
2581690,143038,"prior",6,6,"16",14
1534161,15546,"train",7,1,"16",20
1013946,7815,"prior",6,1,"08",4
826823,38617,"prior",7,3,"13",9
2108840,182160,"prior",40,4,"10",3
2375865,151621,"prior",27,4,"09",30
3409528,204154,"train",7,2,"12",14
3174198,157600,"prior",28,0,"13",4
2110184,70852,"prior",8,3,"16",6
880373,146622,"prior",23,0,"15",3
963901,5776,"prior",6,3,"09",5
789446,48405,"train",16,4,"13",30
3131348,68610,"prior",38,4,"07",1
431896,139633,"prior",2,2,"02",4
1277886,39961,"prior",2,0,"10",7
1797432,203632,"prior",11,6,"12",30
486893,179303,"prior",5,0,"14",8
892230,1542,"prior",21,5,"18",4
3157077,19035,"prior",4,5,"16",30
926910,187610,"prior",48,2,"16",14
3058218,145177,"train",20,5,"20",10
2773570,95699,"prior",17,0,"10",30
948180,6078,"prior",3,3,"21",30
1343218,124838,"prior",9,5,"21",3
3386419,15065,"prior",7,3,"20",22
163365,34904,"prior",16,5,"14",7
3013193,144958,"prior",6,1,"14",7
2727422,51340,"prior",9,4,"11",2
3100445,166954,"prior",16,3,"15",7
1771245,156833,"prior",3,6,"18",10
2654123,127977,"prior",24,2,"07",9
2197097,83377,"prior",16,3,"09",2
389034,189054,"prior",2,6,"10",9
575114,120209,"prior",54,1,"16",9
773393,108569,"prior",46,4,"09",4
2000922,47358,"prior",24,1,"11",8
1941772,103505,"prior",5,4,"14",30
2765876,155933,"prior",53,2,"17",2
1226448,134468,"prior",5,4,"12",30
1539390,188949,"prior",9,6,"15",13
2063367,2310,"prior",12,6,"14",2
2086326,106321,"prior",27,2,"13",3
1989868,56652,"prior",24,6,"16",24
400694,94362,"prior",8,1,"15",30
1361837,127625,"prior",8,1,"12",2
3201473,194740,"prior",15,0,"08",7
1744107,93987,"prior",5,1,"09",7
1558955,40552,"prior",18,0,"14",14
1086882,154736,"prior",16,1,"16",24
912067,171236,"prior",39,0,"08",11
2999709,5417,"prior",21,6,"16",18
329039,203715,"prior",34,3,"18",4
3330237,85532,"prior",20,2,"16",19
808779,185104,"prior",10,1,"16",21
561080,45383,"prior",4,2,"16",2
3059835,169830,"prior",3,1,"13",1
3384353,3640,"prior",13,0,"14",30
2010663,65393,"prior",6,3,"08",8
1135777,66008,"prior",2,0,"20",30
616697,127318,"prior",9,2,"12",30
2580790,36274,"test",9,0,"17",20
1272696,14438,"prior",37,6,"21",3
1982341,135043,"prior",9,3,"18",1
2156409,29609,"prior",8,2,"11",8
1548978,101562,"prior",3,6,"15",1
84032,94698,"prior",5,4,"16",30
3119255,88408,"prior",2,6,"12",2
1356835,33510,"prior",13,3,"18",15
794088,35231,"prior",21,2,"14",28
1957061,166676,"prior",65,2,"08",14
